hist_B_0,hist_B_1,hist_B_2,hist_B_3,hist_B_4,hist_B_5,hist_B_6,hist_B_7,hist_G_0,hist_G_1,hist_G_2,hist_G_3,hist_G_4,hist_G_5,hist_G_6,hist_G_7,hist_R_0,hist_R_1,hist_R_2,hist_R_3,hist_R_4,hist_R_5,hist_R_6,hist_R_7,label
0.029246021,0.5897637,0.7999811,0.106552385,0.00046570098,0.0,0.0,0.0,0.045403447,0.76212925,0.6293586,0.14200862,0.028893102,0.0019655172,0.00039310343,0.0,0.04773138,0.849918,0.5244287,0.018229512,0.0013209792,0.0012329139,0.0,0.0,diseased
0.018762907,0.5680043,0.8074683,0.15815803,9.476215e-05,9.476215e-05,0.0,0.0,0.017207097,0.6460395,0.7530522,0.1131995,0.049107894,0.0048334543,0.00038667634,0.0,0.022625377,0.82482165,0.56476086,0.013278213,0.005066687,0.00069885334,0.0,0.0,diseased
0.0046778414,0.55731803,0.81647044,0.15081361,0.0020582504,0.0013097957,0.00018711366,0.0,0.016322866,0.68320155,0.72556555,0.004906295,0.07019776,0.03915601,0.0062272204,0.00028305547,0.022497652,0.9043174,0.42030907,0.066610694,0.023997495,0.0046759825,0.003087913,0.0,diseased
0.0167586,0.6680359,0.69824153,0.2566976,0.0034119305,0.00080280716,0.000100350895,0.000100350895,0.026628599,0.7101302,0.6791835,0.10116811,0.15257467,0.014188211,0.00061687874,0.0,0.031438027,0.85242504,0.5056598,0.1257521,0.028691933,0.0073860423,9.469285e-05,0.0,diseased
0.05435787,0.58199286,0.80846846,0.06769094,0.010442679,0.004102481,0.00055942923,0.0,0.0703775,0.76469,0.63172185,0.0037455813,0.020797834,0.101623535,0.021192105,0.00078854343,0.073503196,0.91925055,0.37792435,0.021277241,0.07249,0.028001219,0.016027013,0.0006447649,diseased
0.021982975,0.59008,0.7453857,0.30939,0.00050886517,0.00010177303,0.0,0.0,0.02953874,0.6368026,0.73776037,0.2204278,0.026200458,0.0066765645,0.0,0.0,0.035390902,0.805611,0.591037,0.01845319,0.00837971,0.0016937711,0.0,0.0,diseased
0.047822185,0.65170157,0.7565668,0.0245891,0.0004520055,0.0,0.0,0.0,0.036894016,0.796641,0.59569865,0.035738066,0.084480554,0.026972126,0.0018302514,0.0,0.04036526,0.91874844,0.38583925,0.07177997,0.014829846,0.005177283,0.00096525624,0.0,diseased
0.02106697,0.64622664,0.68099236,0.34371328,0.007575806,0.0007264472,0.0,0.0,0.025237711,0.6116554,0.76061946,0.20456909,0.069249816,0.0069762776,0.0024622157,0.00010259232,0.027655985,0.761829,0.6470256,0.013516752,0.004802004,0.001956372,0.000177852,0.0,diseased
0.0071072164,0.5325109,0.6937492,0.48456365,0.01686638,0.0026519464,0.0005303893,0.0,0.010167167,0.5090361,0.8370967,0.19821133,0.027209273,0.004454187,0.00029049045,0.0,0.01778331,0.790646,0.6113013,0.028720047,0.0068465746,0.0012448317,0.00026674964,0.0,diseased
0.011470608,0.52382445,0.8278912,0.20016211,0.0027720637,0.0,0.0,0.0,0.019939383,0.63287604,0.7564005,0.010169085,0.15313447,0.058023605,0.0028912106,0.0,0.028278047,0.8513333,0.49636176,0.16416709,0.032331556,0.0077209687,0.0010616332,0.0,diseased
0.047004048,0.55101687,0.8321424,0.04134199,0.0009886129,0.0,0.0,0.0,0.07130589,0.759554,0.6257168,0.15955576,0.031467382,0.004841136,0.0,0.0,0.070462994,0.868392,0.49039757,0.020170365,0.005775655,0.0006219937,0.0,0.0,diseased
0.03274282,0.44859686,0.8223097,0.34854934,0.0029306845,0.00050529046,0.00010105809,0.0,0.044911847,0.56119394,0.7912651,0.23660378,0.030213425,0.006940922,0.0012248686,0.0,0.046623107,0.73844105,0.6724068,0.018504111,0.0069843954,0.0029933122,0.00018141286,0.0,diseased
0.026693722,0.58891094,0.73526263,0.33444452,0.002576614,0.00072145194,0.0,0.0,0.035258934,0.6255683,0.76347214,0.11193954,0.10921177,0.008486391,0.0013133701,0.0,0.04038135,0.79127115,0.6069215,0.06163469,0.009332989,0.00443548,0.0,0.0,diseased
0.06408067,0.6331568,0.7508864,0.17654473,0.0027817965,0.00029804962,0.0,0.0,0.036049645,0.7061367,0.68338495,0.089656614,0.15541865,0.02929683,0.0021816788,0.0,0.041833825,0.8292773,0.54621124,0.10795213,0.022671847,0.0058813994,0.00037944512,0.0,diseased
0.018484991,0.5802635,0.7435304,0.33149064,0.014767339,0.0033045795,0.00010326811,0.0,0.026464134,0.6341631,0.7281975,0.16898,0.19457646,0.020932697,0.0035791656,0.000108459564,0.033925675,0.7622529,0.64112985,0.08177676,0.008598243,0.0032710705,0.00028037748,0.0,diseased
